GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-maven-junit-helloworld,com.example.javamavenjunithelloworld,Hello,0,44,0,6,0,10,0,6,0,3
java-maven-junit-helloworld,com.example.javamavenjunithelloworld,HelloApp,4,62,0,2,2,17,0,4,0,3
