GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-maven-junit-helloworld,com.example.javamavenjunithelloworld,Hello,13,31,2,4,2,8,2,4,0,3
java-maven-junit-helloworld,com.example.javamavenjunithelloworld,HelloApp,34,32,1,1,7,12,2,2,1,2
